pollsterName,fteGrade,sponsor,population,partisan,demBefore,repBefore,pollsBefore,marginBefore,demAfter,repAfter,pollsAfter,marginAfter,demChange,repChange,marginChange
WPA Intelligence,B/C,,RV,,44.0,42.0,1,2.0,,,0,,,,
YouGov,B+,CBS News,LV,,44.0,46.0,2,-2.0,,,0,,,,
YouGov,B+,Yahoo News,A,,38.4,32.6,5,5.8,,,0,,,,
YouGov,B+,Yahoo News,RV,,44.6,39.0,5,5.6,,,0,,,,
Monmouth University,A,,RV,,49.0,46.0,1,3.0,,,0,,,,
McLaughlin & Associates,C/D,Center for Security Policy,LV,REP,43.0,48.2,1,-5.2,,,0,,,,
ABC News/The Washington Post,A+,,RV,,46.0,47.0,1,-1.0,,,0,,,,
McLaughlin & Associates,C/D,,LV,,44.5,46.5,2,-2.0,,,0,,,,
Axis Research,Unrated,U.S. Chamber of Commerce,LV,REP,46.0,41.0,1,5.0,,,0,,,,
Beacon Research/Shaw & Company Research,A,FOX News,RV,,42.0,42.0,3,0.0,,,0,,,,
Big Village,B,,A,,41.2,36.9,6,4.3,,,0,,,,
Big Village,B,,RV,,46.4,41.3,6,5.1,,,0,,,,
Center Street PAC,Unrated,,LV,,41.0,49.0,1,-8.0,,,0,,,,
Center Street PAC,Unrated,,RV,,41.0,45.0,1,-4.0,,,0,,,,
Cor Services,Unrated,Foundation for Government Accountability,LV,,42.0,46.0,1,-4.0,,,0,,,,
Cygnal,B+,,LV,,47.0,46.9,3,0.1,,,0,,,,
Data for Progress,B,,LV,,45.0,46.8,4,-1.8,,,0,,,,
Data for Progress,B,Climate Power 2020,LV,DEM,44.0,48.0,1,-4.0,,,0,,,,
Echelon Insights,B/C,,LV,,48.3,44.0,3,4.3,,,0,,,,
Echelon Insights,B/C,,RV,,49.3,42.0,3,7.3,,,0,,,,
Echelon Insights,B/C,NetChoice,LV,,46.0,46.0,1,0.0,,,0,,,,
Emerson College,A-,,LV,,45.2,44.8,1,0.4,,,0,,,,
Emerson College,A-,,RV,,43.5,45.0,3,-1.5,,,0,,,,
"Fabrizio, Lee & Associates/Impact Research",Unrated,Wall Street Journal,RV,,47.0,44.0,1,3.0,,,0,,,,
GQR,B,Democracy Corps,RV,DEM,50.0,47.5,2,2.5,,,0,,,,
Harris Poll,B+,Harvard CAPS,RV,,50.3,49.7,3,0.6,,,0,,,,
Hart Research Associates/Public Opinion Strategies,B+,CNBC,RV,,42.0,44.0,1,-2.0,,,0,,,,
Hart Research Associates/Public Opinion Strategies,B+,NBC News,RV,,45.5,46.5,2,-1.0,,,0,,,,
InsiderAdvantage,B,Center for American Greatness,LV,,43.6,46.2,3,-2.6,,,0,,,,
Ipsos,B-,FiveThirtyEight,A,,29.5,29.5,2,0.0,,,0,,,,
Lake Research Partners/The Tarrance Group,A/B,Georgetown University Institute of Politics and Public Service,RV,,48.0,46.0,1,2.0,,,0,,,,
Léger,B/C,The Canadian Press,A,,35.0,31.0,1,4.0,,,0,,,,
Marist College,A,NPR | PBS NewsHour,RV,,48.0,42.5,2,5.5,,,0,,,,
Marquette University Law School,A/B,,A,,45.0,39.0,1,6.0,,,0,,,,
Marquette University Law School,A/B,,RV,,47.0,41.0,1,6.0,,,0,,,,
Zogby Analytics,B-,,LV,,44.8,44.3,1,0.5,,,0,,,,
