pollsterName,fteGrade,sponsor,population,partisan,demBefore,repBefore,pollsBefore,marginBefore,demAfter,repAfter,pollsAfter,marginAfter,demChange,repChange,marginChange
Siena College/The New York Times Upshot,A+,,RV,,41.0,40.0,1,1.0,45.8,45.1,2,0.7,4.8,5.1,-0.3
The Winston Group,A/B,Winning the Issues,RV,REP,47.0,41.0,1,6.0,45.5,44.5,2,1.0,-1.5,3.5,-5.0
McLaughlin & Associates,C/D,,LV,,45.0,45.0,1,0.0,43.5,48.5,2,-5.0,-1.5,3.5,-5.0
Monmouth University,A,,A,,50.0,43.0,1,7.0,44.5,48.0,2,-3.5,-5.5,5.0,-10.5
Echelon Insights,B/C,,RV,,49.5,42.0,2,7.5,48.5,43.5,2,5.0,-1.0,1.5,-2.5
InsiderAdvantage,B,Center for American Greatness,LV,,43.0,47.5,2,-4.5,44.0,47.4,2,-3.4,1.0,-0.1,1.1
Big Village,B,,RV,,46.5,41.4,5,5.1,45.8,41.0,2,4.8,-0.7,-0.4,-0.3
Echelon Insights,B/C,,LV,,48.0,44.0,2,4.0,48.5,45.0,2,3.5,0.5,1.0,-0.5
GQR,B,Democracy Corps,RV,DEM,50.0,48.0,1,2.0,49.5,48.0,2,1.5,-0.5,0.0,-0.5
Harris Poll,B+,Harvard CAPS,RV,,50.0,50.0,2,0.0,50.5,49.5,2,1.0,0.5,-0.5,1.0
TIPP Insights,A+,Issues & Insights,RV,,46.0,46.0,1,0.0,45.5,44.0,2,1.5,-0.5,-2.0,1.5
Ipsos,B-,FiveThirtyEight,A,,29.5,29.5,2,0.0,32.0,29.5,2,2.5,2.5,0.0,2.5
Ipsos,B-,FiveThirtyEight,LV,,38.5,39.0,2,-0.5,45.0,44.5,2,0.5,6.5,5.5,1.0
Hart Research Associates/Public Opinion Strategies,B+,CNBC,RV,,42.0,44.0,1,-2.0,46.0,48.0,1,-2.0,4.0,4.0,0.0
OnMessage,B/C,Senate Opportunity Fund,LV,REP,43.0,46.3,3,-3.3,43.0,46.0,1,-3.0,0.0,-0.3,0.3
Cor Services,Unrated,Foundation for Government Accountability,LV,,42.0,46.0,1,-4.0,44.0,45.0,1,-1.0,2.0,-1.0,3.0
Quinnipiac University,A-,,RV,,46.0,43.5,2,2.5,44.0,48.0,1,-4.0,-2.0,4.5,-6.5
Quinnipiac University,A-,,A,,44.5,43.0,2,1.5,44.0,46.0,1,-2.0,-0.5,3.0,-3.5
Pew Research Center,B/C,,RV,,44.0,42.0,1,2.0,41.0,40.0,1,1.0,-3.0,-2.0,-1.0
Emerson College,A-,,RV,,43.5,45.0,3,-1.5,40.7,45.6,1,-4.9,-2.8,0.6,-3.4
"Fabrizio, Lee & Associates/Impact Research",Unrated,Wall Street Journal,RV,,47.0,44.0,1,3.0,44.0,46.0,1,-2.0,-3.0,2.0,-5.0
Marist College,A,NPR | PBS NewsHour,RV,,48.0,41.0,1,7.0,46.0,46.0,1,0.0,-2.0,5.0,-7.0
WPA Intelligence,B/C,,RV,,44.0,42.0,1,2.0,,,0,,,,
The Bullfinch Group,Unrated,,RV,,45.0,44.0,1,1.0,,,0,,,,
The Bullfinch Group,Unrated,,A,,44.0,42.0,1,2.0,,,0,,,,
YouGov,B+,FiveThirtyEight | PerryUndem,LV,,49.0,45.0,1,4.0,,,0,,,,
WPA Intelligence,B/C,,LV,,47.0,44.0,1,3.0,,,0,,,,
SurveyMonkey,C,The 19th,A,,39.0,38.0,1,1.0,,,0,,,,
Axis Research,Unrated,U.S. Chamber of Commerce,LV,REP,46.0,41.0,1,5.0,,,0,,,,
Suffolk University,B+,USA Today,RV,,44.3,40.1,1,4.2,,,0,,,,
Rasmussen Reports/Pulse Opinion Research,B,Matt Palumbo's The Man Behind the Curtain: Inside the Secret Network of George Soros,LV,,42.0,47.0,1,-5.0,,,0,,,,
Politico/Harvard T.H. Chan School of Public Health,C,,RV,,47.0,44.0,1,3.0,,,0,,,,
McLaughlin & Associates,C/D,Center for Security Policy,LV,REP,43.0,48.2,1,-5.2,,,0,,,,
Léger,B/C,The Canadian Press,A,,35.0,31.0,1,4.0,,,0,,,,
Lake Research Partners/The Tarrance Group,A/B,Georgetown University Institute of Politics and Public Service,RV,,48.0,46.0,1,2.0,,,0,,,,
J.L. Partners,B/C,Atlantic Future Forum,A,,45.0,41.0,1,4.0,,,0,,,,
Ipsos,B-,Survey Center on American Life,A,,34.0,31.0,1,3.0,,,0,,,,
Impact Research,B/C,Progressive Policy Institute,LV,,40.0,44.0,1,-4.0,,,0,,,,
Data for Progress,B,Climate Power 2020,LV,DEM,44.0,48.0,1,-4.0,,,0,,,,
Center Street PAC,Unrated,,RV,DEM,41.0,45.0,1,-4.0,,,0,,,,
Center Street PAC,Unrated,,LV,DEM,41.0,49.0,1,-8.0,,,0,,,,
Zogby Analytics,B-,,LV,,44.8,44.3,1,0.5,,,0,,,,
