cycle,branch,district,forecastdate,expression,name_D1,name_D2,name_D3,name_D4,name_I1,name_R1,name_R2,name_R3,name_R4,name_O1,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,winner_I1,winner_O1,winner_Dparty,winner_Rparty,tipping,vpi,mean_predicted_turnout,p90_simmed_turnout_gross,p10_simmed_turnout_gross,voteshare_mean_D1,voteshare_mean_D2,voteshare_mean_D3,voteshare_mean_D4,voteshare_mean_I1,voteshare_mean_R1,voteshare_mean_R2,voteshare_mean_R3,voteshare_mean_R4,voteshare_mean_O1,p90_voteshare_simmed_I1,p90_voteshare_simmed_O1,p90_voteshare_simmed_D1,p90_voteshare_simmed_R1,p90_voteshare_simmed_D2,p90_voteshare_simmed_R2,p90_voteshare_simmed_R3,p90_voteshare_simmed_R4,p90_voteshare_simmed_D3,p90_voteshare_simmed_D4,p10_voteshare_simmed_I1,p10_voteshare_simmed_O1,p10_voteshare_simmed_D1,p10_voteshare_simmed_R1,p10_voteshare_simmed_D2,p10_voteshare_simmed_R2,p10_voteshare_simmed_R3,p10_voteshare_simmed_R4,p10_voteshare_simmed_D3,p10_voteshare_simmed_D4,pvi_538,vep,elasticity,mean_netpartymargin,p90_netpartymargin,p10_netpartymargin,wonrunoff_D1,lostrunoff_D1,wonrunoff_D2,lostrunoff_D2,wonrunoff_D3,lostrunoff_D3,wonrunoff_D4,lostrunoff_D4,wonrunoff_R1,lostrunoff_R1,wonrunoff_R2,lostrunoff_R2,wonrunoff_R3,lostrunoff_R3,wonrunoff_R4,lostrunoff_R4,wonrunoff_I1,lostrunoff_I1,simulations,timestamp
2022,Senate,OH-S3,7/31/22,_lite,Tim Ryan,"","","",Kelli Prather,J.D. Vance,"","","","",.638625,0,0,0,.3613,0,0,,.000075,0,.63865,.36135,.09265,1.721028,4009838,4627235,3403838,50.23081,0,0,0,2.321281,47.44791,0,0,0,0,4.642381,0,55.56763,52.77099,0,0,0,0,0,0,.5597246,0,44.94293,42.07616,0,0,0,0,0,0,-12.10777,8831240,1.020508,2.782902,13.23306,-7.564369,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,NY-S3,7/31/22,_lite,Charles E. Schumer,"","","","",Joe Pinion,"","","",all others,.976175,0,0,0,.023825,0,0,,0,0,.976175,.023825,.005975,.0798173,5575837,6431908,4733807,59.05057,0,0,0,0,36.01228,0,0,0,4.937148,0,8.849251,66.52374,43.44292,0,0,0,0,0,0,0,1.711107,51.53612,28.5629,0,0,0,0,0,0,19.93185,1.34e+07,.9687177,23.03829,37.3531,8.569929,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,NV-S3,7/31/22,_lite,Catherine Cortez Masto,"","","","",Adam Paul Laxalt,"","","",all others,.622475,0,0,0,.377525,0,0,,0,0,.622475,.377525,.1008875,7.595406,989362.9,1147305,836081.6,49.40131,0,0,0,0,47.10395,0,0,0,3.494738,0,6.625583,54.58404,52.20552,0,0,0,0,0,0,0,1.011622,44.21207,41.92164,0,0,0,0,0,0,-2.531046,2105890,1.055355,2.297352,12.18374,-7.489296,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,NH-S3,7/31/22,_lite,Maggie Hassan,"","","","",Donald C. Bolduc,"","","",all others,.707625,0,0,0,.292375,0,0,,0,0,.707625,.292375,.084075,10.26417,610115.8,701011.8,521465.1,51.11916,0,0,0,0,46.62244,0,0,0,2.258401,0,4.507345,56.76123,52.18351,0,0,0,0,0,0,0,.532645,45.54045,40.98606,0,0,0,0,0,0,.5605241,1075858,1.206824,4.496712,15.47855,-6.397284,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,ND-S3,7/31/22,_lite,Katrina Christiansen,"","","","",John Hoeven,"","","","",.004775,0,0,0,.995225,0,0,,0,0,.004775,.995225,.00055,.1732213,236499.7,277846.3,195865.3,33.29903,0,0,0,0,66.70097,0,0,0,0,0,0,40.78439,74.17284,0,0,0,0,0,0,0,0,25.82717,59.21561,0,0,0,0,0,0,-37.07663,560506,1.093219,-33.40193,-18.43122,-48.34566,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,NC-S3,7/31/22,_lite,Cheri Beasley,"","","","",Ted Budd,"","","",all others,.496675,0,0,0,.503325,0,0,,0,0,.496675,.503325,.102125,2.379896,3196269,3708569,2696733,48.13453,0,0,0,0,48.15995,0,0,0,3.705522,0,6.93864,52.79667,52.81353,0,0,0,0,0,0,0,1.112087,43.44056,43.45361,0,0,0,0,0,0,-4.822354,7698417,.9338832,-.0254135,8.758223,-8.750109,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,MO-S3,7/31/22,_lite,Lucas Kunce,"","","","",Eric Schmitt,"","","",all others,.1507,0,0,0,.8493,0,0,,0,0,.1507,.8493,.022075,.8756862,1877679,2191188,1569083,41.45038,0,0,0,0,49.45478,0,0,0,9.094845,0,14.80449,47.12656,55.1571,0,0,0,0,0,0,0,4.196903,35.63703,43.70096,0,0,0,0,0,0,-20.98703,4580390,.9401103,-8.004398,2.030266,-18.12715,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,MD-S3,7/31/22,_lite,Chris Van Hollen,"","","","",Chris Chaffee,"","","","",.992,0,0,0,.008,0,0,,0,0,.992,.008,.002425,.0998566,1808858,2109105,1514083,63.88857,0,0,0,0,36.11143,0,0,0,0,0,0,70.7794,42.99718,0,0,0,0,0,0,0,0,57.00282,29.2206,0,0,0,0,0,0,26.27618,4305056,.8671917,27.77714,41.5588,14.00564,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,LA-S3,7/31/22,_lite,Gary Chambers,Luke Mixon,Syrita Steib,Salvador P. Rodriguez,"",John Kennedy,Devin Lance Graham,"","",all others,.0095,.01635,.003525,.0035,.916125,.051,0,,0,0,.032875,.967125,.0070375,.4171503,1256594,1476148,1036868,9.295569,11.45966,6.86276,6.86276,0,44.86472,15.08681,0,0,5.56773,0,9.791219,14.95934,54.35184,17.77528,21.4761,0,0,11.69659,11.66491,0,2.032043,4.134455,36.10851,5.623064,8.84832,0,0,2.656005,2.654583,-20.37954,3372421,.9194398,-25.47079,-4.567915,-47.01009,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,KY-S3,7/31/22,_lite,Charles Booker,"","","","",Rand Paul,"","","","",.024675,0,0,0,.975325,0,0,,0,0,.024675,.975325,.0024875,.1327537,1395680,1625021,1169235,41.09513,0,0,0,0,58.90487,0,0,0,0,0,0,46.6883,64.55379,0,0,0,0,0,0,0,0,35.44622,53.3117,0,0,0,0,0,0,-27.19556,3182925,.9538169,-17.80975,-6.623402,-29.10756,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,KS-S3,7/31/22,_lite,Mark R. Holland,"","","",David C. Graham,Jerry Moran,"","","","",.021125,0,0,0,.9788,0,0,,.000075,0,.021175,.978825,.0023,.1865615,918280.1,1070590,770253.4,35.90859,0,0,0,3.889743,60.20166,0,0,0,0,7.239612,0,43.36087,67.64574,0,0,0,0,0,0,1.198553,0,28.34401,52.70967,0,0,0,0,0,0,-21.09543,2089024,1.027156,-24.29307,-9.766508,-38.83099,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,IN-S3,7/31/22,_lite,Thomas McDermott,"","","",James Sceniak,Todd Young,"","","","",.0236,0,0,0,.976375,0,0,,.000025,0,.0236,.9764,.002625,.1023757,1909861,2236223,1592244,36.51409,0,0,0,3.4114,60.07451,0,0,0,0,6.46164,0,43.97747,67.52013,0,0,0,0,0,0,.9805665,0,29.07109,52.57063,0,0,0,0,0,0,-20.26319,4952167,1.040398,-23.56042,-8.914843,-38.10879,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,IL-S3,7/31/22,_lite,Tammy Duckworth,"","","","",Kathy Salvi,"","","",all others,.887175,0,0,0,.112825,0,0,,0,0,.887175,.112825,.0388875,.7336697,3948014,4552355,3346867,52.97953,0,0,0,0,42.48946,0,0,0,4.531015,0,8.314678,58.81856,48.32148,0,0,0,0,0,0,0,1.493989,47.11816,36.63142,0,0,0,0,0,0,13.22368,8928145,.9643387,10.49007,21.5808,-.6213894,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,ID-S3,7/31/22,_lite,David Roth,"","","","",Mike Crapo,"","","",all others,.00345,0,0,0,.99655,0,0,,0,0,.00345,.99655,.0003625,.0477688,565239.8,661667.9,469841.1,29.52574,0,0,0,0,63.73657,0,0,0,6.737695,0,11.49481,37.2308,71.40783,0,0,0,0,0,0,0,2.686384,21.79831,55.99414,0,0,0,0,0,0,-36.76822,1297934,1.019634,-34.21083,-19.57623,-48.85398,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,IA-S3,7/31/22,_lite,Michael Franken,"","","","",Chuck Grassley,"","","","",.156275,0,0,0,.843725,0,0,,0,0,.156275,.843725,.0217125,1.363387,1186206,1366026,1009096,46.11221,0,0,0,0,53.88779,0,0,0,0,0,0,51.09908,58.8747,0,0,0,0,0,0,0,0,41.1253,48.90092,0,0,0,0,0,0,-9.622491,2295209,1.071837,-7.775574,2.198151,-17.7494,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,HI-S3,7/31/22,_lite,Brian Schatz,"","","","",Bob McDermott,"","","",all others,.983925,0,0,0,.016075,0,0,,0,0,.983925,.016075,.0038125,.7096114,400182.9,471348.3,330405.8,62.19977,0,0,0,0,33.1766,0,0,0,4.62363,0,8.38398,70.60429,41.55164,0,0,0,0,0,0,0,1.539049,53.82536,24.72208,0,0,0,0,0,0,31.80856,1007469,1.232596,29.02317,45.39838,12.68097,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,GA-S3,7/31/22,_lite,Raphael Warnock,"","","",Chase Oliver,Herschel Junior Walker,"","","","",.658675,0,0,0,.3413,0,0,,.000025,0,.658675,.341325,.1403125,3.244674,3221028,3724629,2728468,50.68877,0,0,0,1.582862,47.72837,0,0,0,0,3.275472,0,54.65437,51.65417,0,0,0,0,0,0,.3096317,0,46.74437,43.72517,0,0,0,0,0,0,-7.357742,7356953,.8951061,2.960396,10.6628,-4.667107,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,FL-S3,7/31/22,_lite,Val Demings,"","","","",Marco Rubio,"","","",all others,.15095,0,0,0,.84905,0,0,,0,0,.15095,.84905,.021025,.2293918,6826959,7818594,5850096,44.64732,0,0,0,0,52.90015,0,0,0,2.452537,0,4.834569,49.92161,58.18359,0,0,0,0,0,0,0,.5919217,39.34746,47.61462,0,0,0,0,0,0,-7.44125,1.46e+07,1.019821,-8.252831,2.084354,-18.49671,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,CT-S3,7/31/22,_lite,Richard Blumenthal,"","","","",Themis Klarides,"","","",all others,.8662,0,0,0,.1338,0,0,,0,0,.8662,.1338,.0419375,2.550219,1224882,1420281,1034723,54.06528,0,0,0,0,43.96366,0,0,0,1.971055,0,3.982533,60.00141,49.94677,0,0,0,0,0,0,0,.4368802,48.09138,38.00996,0,0,0,0,0,0,12.14246,2618620,1.100113,10.10162,21.75568,-1.633675,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,CO-S3,7/31/22,_lite,Michael Bennet,"","","","",Joe O'Dea,"","","",all others,.79575,0,0,0,.20425,0,0,,0,0,.79575,.20425,.0530875,1.828683,2162335,2485295,1849240,51.72567,0,0,0,0,43.69035,0,0,0,4.583978,0,8.324505,58.27239,50.29041,0,0,0,0,0,0,0,1.521455,45.12488,37.06826,0,0,0,0,0,0,6.733898,4183729,1.090737,8.035324,20.59162,-4.603207,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,CA-S3,7/31/22,_lite,Alex Padilla,"","","","",Mark P. Meuser,"","","","",.9111,0,0,0,.0889,0,0,,0,0,.9111,.0889,.0228,.1650648,1.03e+07,1.18e+07,8810972,57.72137,0,0,0,0,42.27863,0,0,0,0,0,0,65.07161,49.58781,0,0,0,0,0,0,0,0,50.41219,34.92839,0,0,0,0,0,0,25.74052,2.54e+07,.9984196,15.44274,30.14322,.824379,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,AZ-S3,7/31/22,_lite,Mark Kelly,"","","",Marc Victor,Blake Masters,"","","","",.79715,0,0,0,.202825,0,0,,.000025,0,.79715,.20285,.0604375,1.998751,2252252,2604575,1907434,52.51239,0,0,0,2.440561,45.04705,0,0,0,0,4.809788,0,58.41245,50.96204,0,0,0,0,0,0,.5942518,0,46.57301,39.10492,0,0,0,0,0,0,-7.109708,4969373,1.068703,7.46534,18.98798,-4.131838,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,AR-S3,7/31/22,_lite,Natalie James,"","","","",John Boozman,"","","",all others,.00555,0,0,0,.99445,0,0,,0,0,.00555,.99445,.0005375,.0483036,828835.8,978390.6,683100.8,31.7435,0,0,0,0,63.8378,0,0,0,4.418698,0,8.087343,39.23854,71.34732,0,0,0,0,0,0,0,1.442721,24.2499,56.24379,0,0,0,0,0,0,-31.52285,2180916,1.015951,-32.0943,-17.47584,-46.6518,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,AL-S3,7/31/22,_lite,Will Boyd,"","","","",Katie Britt,"","","",all others,.0351,0,0,0,.9649,0,0,,0,0,.0351,.9649,.0038,.204564,1383642,1621891,1152680,38.28698,0,0,0,0,58.04728,0,0,0,3.665739,0,6.897688,45.3159,65.09279,0,0,0,0,0,0,0,1.100904,31.25875,51.0282,0,0,0,0,0,0,-29.19992,3459287,.8313172,-19.7603,-6.08814,-33.40653,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,AK-S3,7/31/22,_lite,Edgar Blatchford,"","","",Sean M. Thorne,Lisa Murkowski,Kelly C. Tshibaka,"","","",.185925,0,0,0,.739425,.07425,0,,.000375,0,.186125,.81385,.0106625,3.080731,257795,298847.3,217780.8,37.42995,0,0,0,4.084454,35.58128,22.90431,0,0,0,7.554069,0,47.99751,43.63586,0,29.91123,0,0,0,0,1.28751,0,26.92263,27.70738,0,15.71571,0,0,0,0,-14.61795,521658,1.218487,-21.05563,-.2244968,-41.73361,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,WI-S3,7/30/22,_lite,Mandela Barnes,"","","","",Ron Johnson,"","","","",.34195,0,0,0,.65805,0,0,,0,0,.34195,.65805,.054025,1.74486,2306234,2651550,1976243,48.22947,0,0,0,0,51.77053,0,0,0,0,0,0,54.13133,57.58749,0,0,0,0,0,0,0,0,42.41251,45.86867,0,0,0,0,0,0,-3.823667,4351464,1.045602,-3.541069,8.262661,-15.17497,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
2022,Senate,WA-S3,7/30/22,_lite,Patty Murray,"","","","",Tiffany Smiley,"","","","",.9616,0,0,0,.0384,0,0,,0,0,.9616,.0384,.0124,.3638307,2538585,2926550,2158900,57.11852,0,0,0,0,42.88148,0,0,0,0,0,0,62.11833,47.91379,0,0,0,0,0,0,0,0,52.08621,37.88167,0,0,0,0,0,0,14.23072,5346645,1.059068,14.23705,24.23667,4.172428,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
2022,Senate,VT-S3,7/30/22,_lite,Peter Welch,"","","","",Christina Nolan,"","","",all others,.975875,0,0,0,.024125,0,0,,0,0,.975875,.024125,.006075,1.796077,251936.2,292402.3,212546.3,58.65208,0,0,0,0,35.53792,0,0,0,5.810005,0,10.1819,66.17905,43.11127,0,0,0,0,0,0,0,2.176875,51.05908,27.89275,0,0,0,0,0,0,27.77288,503792,1.154198,23.11416,37.62825,8.64311,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
2022,Senate,UT-S3,7/30/22,_lite,"","","","",Evan McMullin,Mike Lee,"","","",all others,0,0,0,0,.911475,0,0,,.088525,0,.065325,.934675,.0103125,.8271698,928621.1,1086489,775512.1,0,0,0,0,38.02188,50.39265,0,0,0,11.58547,44.65576,17.93689,0,56.97694,0,0,0,0,0,0,31.30194,5.96338,0,43.67237,0,0,0,0,0,0,-26.29008,2145495,1.112615,-12.37078,-.6619358,-24.15833,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
2022,Senate,SD-S3,7/30/22,_lite,Brian L. Bengs,"","","",Tamara J. Lesnar,John R. Thune,"","","","",.006775,0,0,0,.99315,0,0,,.000075,0,.006825,.993175,.0007875,.1993144,294293.8,343974.7,246095.4,32.84052,0,0,0,3.889455,63.27003,0,0,0,0,7.235004,0,40.35041,70.85026,0,0,0,0,0,0,1.184175,0,25.23473,55.6915,0,0,0,0,0,0,-32.01005,647453,1.026199,-30.42951,-15.72552,-45.13265,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
2022,Senate,SC-S3,7/30/22,_lite,Krystle Matthews,"","","",Larry Adams,Tim Scott,"","","","",.020625,0,0,0,.979375,0,0,,0,0,.020625,.979375,.002225,.104247,1589775,1860217,1332041,36.773,0,0,0,2.82397,60.40303,0,0,0,0,5.465086,0,43.96535,67.70753,0,0,0,0,0,0,.7471331,0,29.41646,53.16579,0,0,0,0,0,0,-18.29783,3897996,.9588062,-23.63003,-9.432304,-37.96489,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
2022,Senate,PA-S3,7/30/22,_lite,John Fetterman,"","","","",Mehmet Oz,"","","",all others,.8655,0,0,0,.1345,0,0,,0,0,.8655,.1345,.0545375,.8962946,4532249,5215311,3865932,52.46614,0,0,0,0,44.25346,0,0,0,3.280397,0,6.239455,57.40321,49.22789,0,0,0,0,0,0,0,.9330133,47.44447,39.26984,0,0,0,0,0,0,-2.976064,9742133,.9917317,8.212681,17.63344,-1.326584,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
2022,Senate,OR-S3,7/30/22,_lite,Ron Wyden,"","","","",Jo Rae Perkins,"","","",all others,.957525,0,0,0,.042475,0,0,,0,0,.957525,.042475,.0107875,.511421,1571128,1810975,1337592,57.08381,0,0,0,0,37.35624,0,0,0,5.559955,0,9.782347,64.56694,44.80273,0,0,0,0,0,0,0,2.031191,49.61077,29.78906,0,0,0,0,0,0,10.62213,3113975,.979912,19.72757,34.21583,5.446905,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
2022,Senate,OK-S3,7/30/22,_lite,Madison Horn,"","","","",James Lankford,"","","",all others,.0021,0,0,0,.9979,0,0,,0,0,.0021,.9979,.0002125,.0145745,1086011,1280731,895950.8,30.09869,0,0,0,0,65.71407,0,0,0,4.187237,0,7.718699,37.3493,72.99649,0,0,0,0,0,0,0,1.325654,22.73945,58.42984,0,0,0,0,0,0,-36.97133,2842656,.9560909,-35.61539,-21.46026,-49.79242,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
2022,Senate,OK-S2,7/30/22,_lite,Kendra Horn,"","","","",Markwayne Mullin,"","","",all others,.01655,0,0,0,.98345,0,0,,0,0,.01655,.98345,.002025,.1427812,1056388,1248086,868126.1,35.46619,0,0,0,0,60.34658,0,0,0,4.187237,0,7.701174,42.85685,67.63316,0,0,0,0,0,0,0,1.335017,28.12272,52.93734,0,0,0,0,0,0,-36.97133,2842656,.9560909,-24.88039,-10.55636,-39.06838,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
2022,Senate,OH-S3,7/30/22,_lite,Tim Ryan,"","","",Kelli Prather,J.D. Vance,"","","","",.6375,0,0,0,.3625,0,0,,0,0,.6375,.3625,.0936375,1.739316,4009965,4627804,3404618,50.23847,0,0,0,2.323019,47.43851,0,0,0,0,4.624735,0,55.61086,52.82919,0,0,0,0,0,0,.5491708,0,44.82207,42.04928,0,0,0,0,0,0,-12.10777,8831240,1.020508,2.799961,13.23749,-7.657581,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
2022,Senate,NY-S3,7/30/22,_lite,Charles E. Schumer,"","","","",Joe Pinion,"","","",all others,.975975,0,0,0,.024025,0,0,,0,0,.975975,.024025,.006275,.083839,5574900,6430275,4724766,59.09826,0,0,0,0,35.9646,0,0,0,4.937148,0,8.90078,66.56841,43.36897,0,0,0,0,0,0,0,1.699554,51.67382,28.49356,0,0,0,0,0,0,19.93185,1.34e+07,.9687177,23.13366,37.51971,8.841946,,,,,,,,,,,,,,,,,,,40000,20:12:24 30 Jul 2022
